946,153,40,52
946,155,40,52
948,157,40,52
950,159,40,52
950,160,40,52
951,161,40,52
951,163,40,52
952,165,40,52
954,166,40,52
955,169,40,52
956,171,40,52
956,172,40,52
956,175,40,52
958,177,40,52
958,179,40,52
959,181,40,52
960,182,40,52
960,185,40,52
961,187,40,52
961,189,40,52
962,190,40,52
962,192,40,52
963,194,40,52
963,195,40,52
964,197,40,52
965,199,40,52
965,199,40,52
965,202,40,52
965,203,40,52
966,204,40,52
966,206,40,52
965,207,40,52
966,208,40,52
965,209,40,52
965,210,40,52
965,211,40,52
965,211,40,52
965,212,40,52
964,214,40,52
965,214,40,52
964,215,40,52
964,215,40,52
962,215,40,52
962,215,40,52
961,215,40,52
961,215,40,52
961,217,40,52
960,216,40,52
959,216,40,52
958,216,40,52
958,216,40,52
957,216,40,52
956,215,40,52
955,215,40,52
955,215,40,52
954,216,40,52
953,215,40,52
952,215,40,52
950,214,40,52
950,213,40,52
949,213,40,52
948,213,40,52
947,213,40,52
947,212,40,52
945,211,40,52
944,211,40,52
943,212,40,52
943,211,40,52
943,210,40,52
941,210,40,52
940,210,40,52
940,209,40,52
938,208,40,52
937,208,40,52
937,208,40,52
936,209,40,52
935,208,40,52
934,207,40,52
933,207,40,52
933,206,40,52
932,207,40,52
931,206,40,52
930,206,40,52
929,207,40,52
928,206,40,52
927,206,40,52
926,205,40,52
925,206,40,52
925,205,40,52
923,205,40,52
922,206,40,52
922,205,40,52
922,204,40,52
921,205,40,52
920,205,40,52
919,206,40,52
918,205,40,52
917,205,40,52
916,205,40,52
916,205,40,52
915,205,40,52
913,206,40,52
913,206,40,52
912,206,40,52
